Animal_Id,Animal_Type,Breed,Age,Weight,sym_Coughing,sym_Decreased Milk Yield,sym_Dehydration,sym_Diarrhea,sym_Fever,sym_Labored Breathing,sym_Lameness,sym_Lethargy,sym_Loss of Appetite,sym_Nasal Discharge,sym_Reduced Wool Production,sym_Swollen Joints,sym_Swollen Legs,sym_Vomiting,sym_Weight Loss,Disease
A250,Cow,Guernsey,5,450.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Parainfluenza
A252,Sheep,Tunis,4,95.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Bluetongue
A253,Goat,Boer,6,75.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A258,Cow,Red Poll,4,680.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A260,Sheep,Romney,5,90.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Maedi-Visna
A261,Goat,Alpine,5,80.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,Caseous Lymphadenitis
A266,Cow,Jersey,6,500.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Viral Diarrhea
A268,Sheep,Blackface,4,95.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bluetongue
A269,Goat,Saanen,5,85.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A274,Cow,Ayrshire,5,720.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A276,Sheep,Suffolk,4,85.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Contagious Abortion
A277,Goat,Nubian,6,95.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Pneumonia
A282,Cow,Belted Galloway,4,650.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A284,Sheep,Cheviot,3,75.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Foot and Mouth Disease
A285,Goat,Angora,4,90.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A293,Cow,Holstein,8,650.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A295,Sheep,Rambouillet,5,90.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Scrapie
A296,Goat,Boer,6,100.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Pneumonia
A301,Cow,Jersey,6,550.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Johne's Disease
A303,Sheep,Suffolk,4,110.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bluetongue
A304,Goat,Nubian,7,120.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Foot and Mouth Disease
A309,Cow,Ayrshire,7,550.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Johne's Disease
A311,Sheep,Dorper,4,95.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Contagious Ecthyma
A312,Goat,Saanen,8,110.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A317,Cow,Guernsey,5,600.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A321,Cow,Charolais,8,700.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A323,Sheep,Blackface,6,95.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Foot and Mouth Disease
A324,Goat,Kiko,4,90.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A329,Cow,Simmental,7,650.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A331,Sheep,Texel,5,110.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Scrapie
A332,Goat,Angora,7,100.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Pneumonia
A337,Cow,Jersey,6,550.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Johne's Disease
A339,Sheep,Rambouillet,6,90.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bluetongue
A340,Goat,Boer,7,120.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Foot and Mouth Disease
A344,Cow,Holstein,8,750.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A346,Sheep,Cheviot,4,85.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bluetongue
A347,Goat,Saanen,2,85.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A352,Cow,Angus,5,650.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A354,Sheep,Suffolk,6,120.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Scrapie
A355,Goat,Toggenburg,5,75.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Pneumonia
A360,Cow,Limousin,6,650.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A362,Sheep,Merino,7,90.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bluetongue
A363,Goat,Alpine,6,110.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A368,Cow,Jersey,3,600.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A369,Sheep,Dorset,6,120.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Scrapie
A370,Goat,Nubian,2,80.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A373,Cow,Angus,4,650.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A375,Sheep,Suffolk,7,130.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bluetongue
A376,Goat,Alpine,3,75.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A381,Cow,Charolais,8,750.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A383,Sheep,Hampshire,6,125.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Scrapie
A384,Goat,Nubian,4,80.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Respiratory Disease
A389,Cow,Holstein,3,700.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Mastitis
A390,Cow,Guernsey,3,580.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A391,Sheep,Dorset,4,125.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Scrapie
A392,Goat,Saanen,3,75.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A394,Sheep,Cheviot,3,110.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bluetongue
A395,Goat,Boer,5,85.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Goat Pox
A398,Cow,Ayrshire,3,700.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A399,Goat,Kiko,4,70.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A404,Cow,Jersey,2,550.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Mastitis
A405,Cow,Simmental,4,700.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Respiratory Disease
A406,Sheep,Suffolk,3,110.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bluetongue
A407,Goat,Toggenburg,2,70.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A409,Cow,Dexter,2,500.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Bovine Tuberculosis
A410,Sheep,Cheviot,4,120.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Scrapie
A411,Goat,Alpine,3,75.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Arthritis Encephalitis
A413,Goat,Nubian,4,80.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,Caprine Respiratory Disease
A415,Sheep,Dorset,5,150.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Scrapie
A416,Sheep,Southdown,6,130.0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Foot and Mouth Disease
A424,Cow,Holstein,3,600.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Foot and Mouth Disease
A431,Cow,Jersey,4,580.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Mastitis
