Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Disease_Prediction,Animal_Id
Cow,Ayrshire,4,Male,630.0,Coughing,Lethargy,Loss of Appetite,Swollen Legs,Bovine Tuberculosis,A210
Cow,Jersey,5,Male,560.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A214
Sheep,Suffolk,5,Female,90.0,Coughing,Lethargy,Loss of Appetite,Fever,Foot and Mouth Disease,A216
Goat,Boer,6,Male,70.0,Vomiting,Diarrhea,Loss of Appetite,Fever,Caprine Arthritis Encephalitis,A217
Cow,Simmental,4,Male,650.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Syncytial Virus,A222
Sheep,Karakul,5,Male,80.0,Swollen Joints,Coughing,Loss of Appetite,Lethargy,Scrapie,A224
Goat,Angora,6,Female,60.0,Vomiting,Loss of Appetite,Lethargy,Fever,Caprine Pleuropneumonia,A225
Cow,Dexter,3,Male,450.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Viral Diarrhea,A230
Sheep,Corriedale,4,Female,95.0,Swollen Joints,Coughing,Loss of Appetite,Lethargy,Bluetongue,A232
Goat,Kiko,5,Male,72.0,Vomiting,Loss of Appetite,Lethargy,Fever,Caprine Pleuropneumonia,A233
Cow,Charolais,3,Male,700.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A238
Cow,Holstein,4,Male,700.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A242
Sheep,Southdown,6,Female,80.0,Coughing,Loss of Appetite,Lethargy,Fever,Contagious Ecthyma,A244
Goat,Nubian,4,Male,72.0,Vomiting,Loss of Appetite,Lethargy,Fever,Pneumonia,A245
Cow,Guernsey,5,Female,450.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Parainfluenza,A250
Sheep,Tunis,4,Male,95.0,Swollen Joints,Coughing,Loss of Appetite,Lethargy,Bluetongue,A252
Goat,Boer,6,Female,75.0,Vomiting,Loss of Appetite,Lethargy,Fever,Caprine Arthritis Encephalitis,A253
Cow,Red Poll,4,Male,680.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A258
Sheep,Romney,5,Female,90.0,Coughing,Loss of Appetite,Lethargy,Fever,Maedi-Visna,A260
Goat,Alpine,5,Male,80.0,Vomiting,Diarrhea,Loss of Appetite,Fever,Caseous Lymphadenitis,A261
Cow,Jersey,6,Female,500.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Viral Diarrhea,A266
Sheep,Blackface,4,Male,95.0,Coughing,Loss of Appetite,Lethargy,Fever,Bluetongue,A268
Goat,Saanen,5,Female,85.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A269
Cow,Ayrshire,5,Male,720.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A274
Sheep,Suffolk,4,Male,85.0,Coughing,Loss of Appetite,Lethargy,Fever,Contagious Abortion,A276
Goat,Nubian,6,Female,95.0,Vomiting,Diarrhea,Lethargy,Fever,Pneumonia,A277
Cow,Belted Galloway,4,Female,650.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A282
Sheep,Cheviot,3,Female,75.0,Coughing,Loss of Appetite,Lethargy,Fever,Foot and Mouth Disease,A284
Goat,Angora,4,Male,90.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A285
Cow,Holstein,8,Male,650.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A293
Sheep,Rambouillet,5,Female,90.0,Coughing,Loss of Appetite,Lethargy,Fever,Scrapie,A295
Goat,Boer,6,Male,100.0,Vomiting,Diarrhea,Lethargy,Fever,Pneumonia,A296
Cow,Jersey,6,Female,550.0,Coughing,Loss of Appetite,Lethargy,Fever,Johne's Disease,A301
Sheep,Suffolk,4,Male,110.0,Coughing,Loss of Appetite,Lethargy,Fever,Bluetongue,A303
Goat,Nubian,7,Female,120.0,Vomiting,Diarrhea,Lethargy,Fever,Foot and Mouth Disease,A304
Cow,Ayrshire,7,Female,550.0,Coughing,Loss of Appetite,Lethargy,Fever,Johne's Disease,A309
Sheep,Dorper,4,Male,95.0,Coughing,Loss of Appetite,Lethargy,Fever,Contagious Ecthyma,A311
Goat,Saanen,8,Female,110.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A312
Cow,Guernsey,5,Female,600.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A317
Cow,Charolais,8,Male,700.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A321
Sheep,Blackface,6,Male,95.0,Coughing,Loss of Appetite,Lethargy,Fever,Foot and Mouth Disease,A323
Goat,Kiko,4,Female,90.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A324
Cow,Simmental,7,Female,650.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A329
Sheep,Texel,5,Male,110.0,Coughing,Loss of Appetite,Lethargy,Fever,Scrapie,A331
Goat,Angora,7,Female,100.0,Vomiting,Diarrhea,Lethargy,Fever,Pneumonia,A332
Cow,Jersey,6,Male,550.0,Coughing,Loss of Appetite,Lethargy,Fever,Johne's Disease,A337
Sheep,Rambouillet,6,Female,90.0,Coughing,Loss of Appetite,Lethargy,Fever,Bluetongue,A339
Goat,Boer,7,Female,120.0,Vomiting,Diarrhea,Lethargy,Fever,Foot and Mouth Disease,A340
Cow,Holstein,8,Female,750.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A344
Sheep,Cheviot,4,Male,85.0,Coughing,Loss of Appetite,Lethargy,Fever,Bluetongue,A346
Goat,Saanen,2,Male,85.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A347
Cow,Angus,5,Female,650.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A352
Sheep,Suffolk,6,Female,120.0,Coughing,Loss of Appetite,Lethargy,Fever,Scrapie,A354
Goat,Toggenburg,5,Female,75.0,Vomiting,Diarrhea,Lethargy,Fever,Pneumonia,A355
Cow,Limousin,6,Male,650.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A360
Sheep,Merino,7,Male,90.0,Coughing,Loss of Appetite,Lethargy,Fever,Bluetongue,A362
Goat,Alpine,6,Male,110.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A363
Cow,Jersey,3,Female,600.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A368
Sheep,Dorset,6,Male,120.0,Coughing,Loss of Appetite,Lethargy,Fever,Scrapie,A369
Goat,Nubian,2,Female,80.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A370
Cow,Angus,4,Female,650.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A373
Sheep,Suffolk,7,Male,130.0,Coughing,Loss of Appetite,Lethargy,Fever,Bluetongue,A375
Goat,Alpine,3,Female,75.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A376
Cow,Charolais,8,Female,750.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A381
Sheep,Hampshire,6,Male,125.0,Coughing,Loss of Appetite,Lethargy,Fever,Scrapie,A383
Goat,Nubian,4,Male,80.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Respiratory Disease,A384
Cow,Holstein,3,Male,700.0,Coughing,Loss of Appetite,Lethargy,Fever,Mastitis,A389
Cow,Guernsey,3,Male,580.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A390
Sheep,Dorset,4,Male,125.0,Coughing,Loss of Appetite,Lethargy,Fever,Scrapie,A391
Goat,Saanen,3,Female,75.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A392
Sheep,Cheviot,3,Female,110.0,Coughing,Loss of Appetite,Lethargy,Fever,Bluetongue,A394
Goat,Boer,5,Male,85.0,Vomiting,Diarrhea,Lethargy,Fever,Goat Pox,A395
Cow,Ayrshire,3,Female,700.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A398
Goat,Kiko,4,Female,70.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A399
Cow,Jersey,2,Male,550.0,Coughing,Loss of Appetite,Lethargy,Fever,Mastitis,A404
Cow,Simmental,4,Female,700.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Respiratory Disease,A405
Sheep,Suffolk,3,Male,110.0,Coughing,Loss of Appetite,Lethargy,Fever,Bluetongue,A406
Goat,Toggenburg,2,Female,70.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A407
Cow,Dexter,2,Male,500.0,Coughing,Loss of Appetite,Lethargy,Fever,Bovine Tuberculosis,A409
Sheep,Cheviot,4,Female,120.0,Coughing,Loss of Appetite,Lethargy,Fever,Scrapie,A410
Goat,Alpine,3,Male,75.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Arthritis Encephalitis,A411
Goat,Nubian,4,Female,80.0,Vomiting,Diarrhea,Lethargy,Fever,Caprine Respiratory Disease,A413
Sheep,Dorset,5,Male,150.0,Coughing,Loss of Appetite,Lethargy,Fever,Scrapie,A415
Sheep,Southdown,6,Male,130.0,Coughing,Loss of Appetite,Lethargy,Fever,Foot and Mouth Disease,A416
Cow,Holstein,3,Female,600.0,Fever,Nasal Discharge,Labored Breathing,Coughing,Foot and Mouth Disease,A424
Cow,Jersey,4,Female,580.0,Lethargy,Decreased Milk Yield,Fever,,Mastitis,A431
